cc_number,intersects,distance_to_nearest_block,nearest_block
23c00696,TRUE,NA,NA
23c00660,TRUE,NA,NA
23c00705,TRUE,NA,NA
23b08239,TRUE,NA,NA
23b07679,TRUE,NA,NA
23c03652,TRUE,NA,NA
23c02523,TRUE,NA,NA
23c07284,TRUE,NA,NA
23a01397,FALSE,0,1000 horners lane
23a01419,TRUE,NA,NA
23a01074,TRUE,NA,NA
23i03177,FALSE,10.440536606649811,50 market pl
23i07432,TRUE,NA,NA
23i07446,TRUE,NA,NA
23i07480,TRUE,NA,NA
23i07570,TRUE,NA,NA
23i07539,TRUE,NA,NA
23i07481,FALSE,0,4300 patterson ave
23i09961,TRUE,NA,NA
23i09963,TRUE,NA,NA
23i09971,TRUE,NA,NA
23i09986,TRUE,NA,NA
23i10298,FALSE,15.863486735787523,4300 pulaski hwy
23i08185,TRUE,NA,NA
23i08228,FALSE,3.796644910299546,2700 saint paul st
23i08438,TRUE,NA,NA
23i08597,TRUE,NA,NA
23i08539,FALSE,8.503296257540644,2600 e fairmount ave
23i08240,TRUE,NA,NA
23i08388,FALSE,37.78242399631549,200 e eager st
23h06169,TRUE,NA,NA
23h06172,TRUE,NA,NA
23h06177,TRUE,NA,NA
23h06190,FALSE,16.053910979234278,20 s athol ave
23h06218,TRUE,NA,NA
23h06024,TRUE,NA,NA
23h06036,TRUE,NA,NA
23h06041,TRUE,NA,NA
23h06046,TRUE,NA,NA
23h06250,TRUE,NA,NA
23h05209,TRUE,NA,NA
23h05811,TRUE,NA,NA
23h05157,FALSE,9.543446403465364,2100 boston st
23h05212,TRUE,NA,NA
23i01502,TRUE,NA,NA
23i01463,TRUE,NA,NA
23i01384,TRUE,NA,NA
23i01423,TRUE,NA,NA
23i01782,TRUE,NA,NA
23i02304,TRUE,NA,NA
23i01787,TRUE,NA,NA
23i01792,FALSE,2.319199626098096,700 mount holly st
23i01885,TRUE,NA,NA
23i01886,TRUE,NA,NA
23i01898,TRUE,NA,NA
23g05248,TRUE,NA,NA
23g05307,TRUE,NA,NA
23g04882,TRUE,NA,NA
23g04907,TRUE,NA,NA
23g04130,FALSE,6.0291560858282836,1200 bayard st
23g04133,TRUE,NA,NA
23g04148,FALSE,12.87559043340516,2700 e eager st
23g04159,TRUE,NA,NA
23g04164,FALSE,0,600 reedbird ave
23g03770,TRUE,NA,NA
23g04246,TRUE,NA,NA
23g04305,TRUE,NA,NA
23g04319,TRUE,NA,NA
23h00696,FALSE,52.835276730998494,0 e 30th st
23h00703,FALSE,43.016984676352735,100 mercer st
23h00706,TRUE,NA,NA
23h00721,TRUE,NA,NA
23h00734,TRUE,NA,NA
23h00735,TRUE,NA,NA
23h00743,TRUE,NA,NA
23h00796,TRUE,NA,NA
23h00798,FALSE,0,4300 patterson ave
23g10460,FALSE,5.08246649969075,500 washburn ave
23g10462,TRUE,NA,NA
23g10488,TRUE,NA,NA
23g10282,TRUE,NA,NA
23g10499,FALSE,157.16552569344483,1400 jordan st
23g10206,FALSE,4.281604197279938,2800 e monument st
23g10504,TRUE,NA,NA
23g10623,FALSE,5.7457250426953586,300 e lanvale st
23g10624,TRUE,NA,NA
23g10625,FALSE,65.04896177254466,0 s stricker st
23f07137,TRUE,NA,NA
23f07178,TRUE,NA,NA
23f07188,TRUE,NA,NA
23f06799,TRUE,NA,NA
23f06912,TRUE,NA,NA
23f06952,TRUE,NA,NA
23f06827,TRUE,NA,NA
23f06862,FALSE,13.137401896192461,900 stoll st
23f06687,TRUE,NA,NA
23f06037,FALSE,0,4400 mannasota ave
23f05684,TRUE,NA,NA
23f06031,TRUE,NA,NA
23g01538,FALSE,3.291798882416247,1200 w mount royal ave
23f05677,TRUE,NA,NA
23g01805,TRUE,NA,NA
23f08993,FALSE,15.194086799150456,600 nottingham road
23f10010,TRUE,NA,NA
23f08440,TRUE,NA,NA
23f08452,TRUE,NA,NA
23f08526,FALSE,15.107623173713227,3600 bonview ave
23f08212,TRUE,NA,NA
23f08609,TRUE,NA,NA
23f08394,TRUE,NA,NA
23e04839,TRUE,NA,NA
23e04850,TRUE,NA,NA
23e04711,TRUE,NA,NA
23e04712,TRUE,NA,NA
23e03586,TRUE,NA,NA
23e03179,TRUE,NA,NA
23e03218,TRUE,NA,NA
23e03247,TRUE,NA,NA
23f01158,TRUE,NA,NA
23f00800,TRUE,NA,NA
23f01158,TRUE,NA,NA
23f01128,TRUE,NA,NA
23f01049,FALSE,167.07002184910374,4800 nurton ave
23f01051,FALSE,19.049046073673225,200 e federal st
23f01191,TRUE,NA,NA
23f01193,TRUE,NA,NA
23e10982,TRUE,NA,NA
23e10769,FALSE,1.96993089289246,4400 saint georges ave
23e10748,TRUE,NA,NA
23e10854,TRUE,NA,NA
23c09654,TRUE,NA,NA
23c09329,FALSE,3.745077088057809,1600 e 29th st
23c09121,TRUE,NA,NA
23c09404,TRUE,NA,NA
23d04139,TRUE,NA,NA
23d07554,TRUE,NA,NA
23d07584,FALSE,67.73801065908454,3000 homewood ave
23d07284,TRUE,NA,NA
22g06280,TRUE,NA,NA
22g06488,TRUE,NA,NA
22g06885,TRUE,NA,NA
22h01622,FALSE,262.47976699300415,300 e 29th st
22g06396,TRUE,NA,NA
22h00509,TRUE,NA,NA
22g09334,TRUE,NA,NA
22g06658,TRUE,NA,NA
22g05314,TRUE,NA,NA
22d06735,TRUE,NA,NA
22a07273,TRUE,NA,NA
23j11121,TRUE,NA,NA
23k00038,FALSE,21.496535715612143,1000 cloverdale road
23k00053,TRUE,NA,NA
23k00511,TRUE,NA,NA
23k00201,TRUE,NA,NA
23k00386,TRUE,NA,NA
23j09662,TRUE,NA,NA
23j09677,TRUE,NA,NA
23j10235,FALSE,0,4800 windsor mill road
23j10236,FALSE,0,1500 orleans st
23j10262,TRUE,NA,NA
23j10786,FALSE,0,5000 w forest park ave
23j10558,TRUE,NA,NA
23j10369,FALSE,0.15031054887500112,2800 o'donnell st
23j10787,TRUE,NA,NA
23j10264,TRUE,NA,NA
23j10265,TRUE,NA,NA
23j08728,FALSE,0,4200 6th st
23j08870,TRUE,NA,NA
23j08871,TRUE,NA,NA
23j09001,TRUE,NA,NA
23j08961,TRUE,NA,NA
