ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300166724,"06/02/2023, 7:00:00 AM","08/03/2023, 1:14:22 PM",BEL AIR,MD,.,1200 Block HENDERSON RD, HCSO]-HACKING/COMPUTER INVASION,Other Theft,HACKING/COMPUTER INVASION
202300172320,"06/09/2023, 7:00:00 AM","08/03/2023, 1:14:37 PM",BEL AIR,MD,.,1400 Block HALKIRK WAY, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300174240,"06/01/2023, 7:00:00 AM","08/03/2023, 1:14:23 PM",EDGEWOOD,MD,.,1800 Block EDGEWOOD RD, HCSO]-EMBEZZLEMENT,Other Theft,EMBEZZLEMENT
202300172734,"06/30/2023, 7:30:00 PM","08/03/2023, 9:00:49 AM",EDGEWOOD,MD,.,700 Block RAINBOW CT, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300151158,"05/30/2023, 4:00:00 AM","08/03/2023, 5:37:14 AM",BEL AIR,MD,.,1800 Block PRINDLE DR, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300168493,"05/12/2023, 5:00:00 PM","08/03/2023, 5:37:14 AM",FALLSTON,MD,.,2600 Block LAUREL BROOK RD, HCSO]-CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD,Other Theft,CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD
202300172223,"05/27/2023, 7:00:00 AM","08/03/2023, 5:37:15 AM",STREET,MD,.,3100 Block QUEENS CASTLE CT, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300149035,"06/11/2023, 3:00:00 AM","08/02/2023, 12:28:51 AM",BEL AIR,MD,.,1200 Block ATHENS CT," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300135693,"05/27/2023, 1:01:00 AM","08/02/2023, 12:28:48 AM",JARRETTSVILLE,MD,.,2000 Block GEORGEANNA CT, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300165212,"06/28/2023, 9:57:00 AM","08/02/2023, 12:28:52 AM",BELCAMP,MD,.,1200 Block ALLISON CT, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300172026,"06/26/2023, 11:20:00 PM","08/02/2023, 12:28:24 AM",EDGEWOOD,MD,.,1300 Block BREEZE WAY, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300172369,"05/14/2023, 7:00:00 PM","07/29/2023, 4:06:22 PM",EDGEWOOD,MD,.,1300 Block GOLDMEADOW WAY, HCSO]-PROPERTY-LOST/FOUND/RECOVERED,Other,PROPERTY-LOST/FOUND/RECOVERED
202300169987,"05/01/2023, 7:00:00 AM","07/29/2023, 9:00:12 AM",BEL AIR,MD,.,1 Block N MAIN ST, HCSO]-ASSAULT-FIREARM,Assault with Deadly Weapon,ASSAULT-FIREARM
202300166195,"06/29/2023, 4:30:00 AM","07/28/2023, 5:08:35 PM",JOPPA,MD,.,300 Block TRIMBLE RD, HCSO]-M/V THEFT-AUTOMOBILE,Theft of Vehicle,M/V THEFT-AUTOMOBILE
202300160078,"06/22/2023, 9:04:00 PM","07/28/2023, 5:08:35 PM",EDGEWOOD,MD,.,1700 Block HANSON RD, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202300167393,"06/30/2023, 7:30:00 PM","07/28/2023, 9:36:52 AM",EDGEWOOD,MD,21040,1700 Block TRIMBLE, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300137773,"05/15/2023, 11:00:00 PM","07/28/2023, 8:32:17 AM",ABINGDON,MD,.,2400 Block PARLIAMENT DR, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300123496,"05/06/2023, 6:00:00 PM","07/28/2023, 8:32:16 AM",BEL AIR,MD,.,2000 Block WHITNEY LN, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300133535,"05/15/2023, 7:00:00 AM","07/28/2023, 8:32:16 AM",BEL AIR,MD,.,1300 Block GATES HEAD DR, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202300181184,"06/12/2023, 3:45:00 AM","07/28/2023, 1:37:29 AM",ABINGDON,MD,.,700 Block SHALLOW RIDGE CT, HCSO]-THEFT - ALL OTHER,Other Theft,THEFT - ALL OTHER
202300118740,"05/11/2023, 10:20:00 PM","07/28/2023, 12:26:19 AM",ABERDEEN,MD,.,200 Block PERRYWOOD CT, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300170058,"06/07/2023, 12:59:00 AM","07/27/2023, 10:18:57 AM",BELCAMP,MD,.,1300 Block GERMANDER DR, HCSO]-THEFT - ALL OTHER,Other Theft,THEFT - ALL OTHER
202300129271,"05/05/2023, 9:05:00 PM","07/27/2023, 9:53:46 AM",EDGEWOOD,MD,21040,3500 Block SANDPIPER CT, HCSO]-WIRE FRAUD,Other Theft,WIRE FRAUD
202300165827,"06/29/2023, 2:11:00 AM","07/26/2023, 5:23:45 PM",EDGEWOOD,MD,.,100 Block JACOB ST, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300168127,"07/01/2023, 5:00:00 AM","07/26/2023, 8:51:52 AM",ABINGDON,MD,.,1400 Block VALLEY FORGE WAY, HCSO]-EMER EVALUATION/COMMITTMENT,Emergency,EMER EVALUATION/COMMITTMENT
202300167593,"06/01/2023, 7:00:00 PM","07/26/2023, 8:51:52 AM",ABINGDON,MD,.,200 Block ELLERSLIE CT, HCSO]-THEFT - ALL OTHER,Other Theft,THEFT - ALL OTHER
