ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300060358,"03/08/2023, 5:21:00 AM","08/02/2023, 12:28:45 AM",ABERDEEN,MD,.,S PHILADELPHIA BLVD & EDMUND ST, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300187108,"03/26/2023, 7:00:00 AM","08/01/2023, 12:23:17 AM",EDGEWOOD,MD,.,400 Block BLUE HERON CT, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300082093,"04/01/2023, 6:30:00 AM","07/22/2023, 12:30:26 AM",JOPPA,MD,.,1000 Block PLAZA CIRCLE," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300152144,"01/01/2023, 8:00:00 AM","07/20/2023, 8:59:34 AM",JARRETTSVILLE,MD,.,1500 Block NORTH BEND RD, HCSO]-RAPE-FORCED,Sexual Assault,RAPE-FORCED
202300040250,"02/14/2023, 6:51:00 AM","07/19/2023, 8:13:45 AM",EDGEWOOD,MD,.,2200 Block HANSON RD, HCSO]-EMER EVALUATION/COMMITTMENT,Emergency,EMER EVALUATION/COMMITTMENT
202300081657,"03/31/2023, 8:23:00 PM","07/19/2023, 1:10:09 AM",BELCAMP,MD,.,4400 Block TOLCHESTER CT, HCSO]-RAPE-FORCED,Sexual Assault,RAPE-FORCED
202300079904,"03/29/2023, 8:17:00 PM","07/19/2023, 1:10:20 AM",ABINGDON,MD,.,700 Block SHALLOW RIDGE CT, HCSO]-PORNOGRAPHY/OBSCENE MATERIAL,Other,PORNOGRAPHY/OBSCENE MATERIAL
202300004695,"01/06/2023, 3:00:00 PM","07/19/2023, 1:10:19 AM",BEL AIR,MD,.,1000 Block ROCK SPRING RD, HCSO]-DRUG OVERDOSE-ACCIDENTAL,Quality of Life,DRUG OVERDOSE-ACCIDENTAL
202300123152,"03/31/2023, 7:00:00 AM","07/18/2023, 9:22:19 AM",BEL AIR,MD,21014,200 Block SOUTH MAIN STREET, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300133677,"03/31/2023, 7:00:00 AM","07/15/2023, 9:23:25 AM",FOREST HILL,MD,.,2200 Block COMMERCE RD, HCSO]-ASSIST OTHER AGENCY,Other,ASSIST OTHER AGENCY
202300161051,"02/06/2023, 7:00:00 AM","07/13/2023, 12:42:30 AM",ABERDEEN,MD,.,4700 Block CORALBERRY CT, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202300125529,"03/18/2023, 7:00:00 AM","07/07/2023, 9:24:39 AM",BEL AIR,MD,.,1 Block N MAIN ST, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300090584,"03/10/2023, 7:00:00 AM","07/07/2023, 8:49:54 AM",FOREST HILL,MD,.,2200 Block WARFIELD DR, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300066137,"03/14/2023, 9:13:00 AM","06/29/2023, 12:43:47 AM",EDGEWOOD,MD,.,2100 Block EMMORTON PARK RD, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202300094004,"03/26/2023, 7:00:00 AM","06/28/2023, 12:17:27 AM",ABERDEEN,MD,.,200 Block MAYBERRY DR, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300161091,"02/01/2023, 7:00:00 AM","06/27/2023, 12:44:43 AM",FOREST HILL,MD,.,2000 Block MARDIC DR, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300145603,"03/01/2023, 3:00:00 PM","06/25/2023, 11:48:30 PM",BEL AIR,MD,.,1600 Block KINGS VIEW DR, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300109652,"03/30/2023, 8:00:00 PM","06/16/2023, 4:38:37 PM",BEL AIR,MD,.,500 Block HANNA WAY, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300146066,"01/01/2023, 4:00:00 PM","06/12/2023, 8:36:35 AM",ABINGDON,MD,.,400 Block CLYDEBANK DR, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300146465,"01/01/2023, 7:00:00 AM","06/12/2023, 12:21:55 AM",BEL AIR,MD,21015,1400 Block SHERMAN CT, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300139409,"01/01/2023, 7:00:00 AM","06/12/2023, 12:21:40 AM",BEL AIR,MD,.,1300 Block ST FRANCIS ROAD, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300131026,"02/23/2023, 7:01:00 AM","06/08/2023, 7:48:06 AM",BEL AIR,MD,.,1300 Block SOUTH DAHLIA CT, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300110715,"03/29/2023, 7:00:00 AM","06/08/2023, 12:22:52 AM",BEL AIR,MD,.,200 Block WAKELY TER, HCSO]-FORGERY/COUNTERFEITING,Other Theft,FORGERY/COUNTERFEITING
202300020227,"01/23/2023, 3:00:00 PM","06/06/2023, 7:52:11 AM",EDGEWOOD,MD,.,2200 Block LAKESIDE BLVD, HCSO]-EMBEZZLEMENT,Other Theft,EMBEZZLEMENT
202300125426,"02/27/2023, 7:00:00 AM","06/06/2023, 12:42:39 AM",ABINGDON,MD,.,1 Block SINGER RD, HCSO]-CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD,Other Theft,CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD
