ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300248043,"09/25/2023, 12:18:00 PM","09/30/2023, 5:28:12 PM",EDGEWOOD,MD,.,3000 Block EBBTIDE DR, HCSO]-UNATTENDED DEATH (NO MURDER),Death,UNATTENDED DEATH (NO MURDER)
202300247978,"09/25/2023, 7:00:00 AM","09/30/2023, 5:05:45 AM",ABERDEEN,MD,.,200 Block MAYBERRY DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300237885,"09/13/2023, 3:07:00 AM","09/30/2023, 5:05:02 AM",EDGEWOOD,MD,.,1700 Block HANSON RD, HCSO]-GAMBLING-BETTING/WAGERING,Other,GAMBLING-BETTING/WAGERING
202300246705,"09/23/2023, 2:30:00 PM","09/30/2023, 5:05:40 AM",FOREST HILL,MD,.,2200 Block ROCK SPRING RD, HCSO]-TRESPASSING,Property Crime,TRESPASSING
202300250823,"09/28/2023, 4:30:00 AM","09/29/2023, 10:26:58 PM",EDGEWOOD,MD,.,800 Block WILLIAMSBURG CT, HCSO]-M/V THEFT-AUTOMOBILE,Theft of Vehicle,M/V THEFT-AUTOMOBILE
202300251078,"09/26/2023, 10:00:00 AM","09/29/2023, 10:26:58 PM",FOREST HILL,MD,.,100 Block FOREST VALLEY DR, HCSO]-SEXUAL ASSAULT WITH AN OBJECT,Sexual Offense,SEXUAL ASSAULT WITH AN OBJECT
202300251380,"09/29/2023, 1:25:00 AM","09/29/2023, 10:26:58 PM",JOPPA,MD,.,100 Block FERN DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300251171,"09/27/2023, 6:00:00 PM","09/29/2023, 10:27:08 PM",EDGEWOOD,MD,.,900 Block ANGEL VALLEY CT N, HCSO]-UNATTENDED DEATH (NO MURDER),Death,UNATTENDED DEATH (NO MURDER)
202300251563,"09/29/2023, 6:47:00 AM","09/29/2023, 10:27:08 PM",WHITE HALL,MD,.,2800 Block TROYER RD, HCSO]-UNATTENDED DEATH (NO MURDER),Death,UNATTENDED DEATH (NO MURDER)
202300251335,"09/29/2023, 12:30:00 AM","09/29/2023, 10:27:08 PM",EDGEWOOD,MD,21040,1900 Block BROOKSIDE DRIVE, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300248986,"09/26/2023, 7:00:00 AM","09/29/2023, 9:10:01 PM",JOPPA,MD,.,300 Block SWEET BRIAR CT, HCSO]-M/V THEFT - AUTOMOBILE ATTEMPTED,Theft of Vehicle,M/V THEFT - AUTOMOBILE ATTEMPTED
202300220927,"08/25/2023, 8:00:00 AM","09/29/2023, 9:10:13 PM",ABINGDON,MD,.,300 Block FORSYTHIA DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300250385,"09/27/2023, 11:30:00 PM","09/29/2023, 1:13:53 PM",BELCAMP,MD,.,1200 Block PEARSON PL, HCSO]-EMER EVALUATION/COMMITTMENT,Emergency,EMER EVALUATION/COMMITTMENT
202300249449,"09/10/2023, 12:30:00 AM","09/29/2023, 1:13:53 PM",HAVRE DE GRACE,MD,.,2400 Block OLD ROBIN HOOD RD, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300249380,"09/26/2023, 10:30:00 PM","09/29/2023, 6:16:24 AM",EDGEWOOD,MD,.,1000 Block LAKE FRONT DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300250343,"09/27/2023, 10:30:00 PM","09/29/2023, 6:16:25 AM",BEL AIR,MD,.,1200 Block GRAFTON SHOP RD," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300250562,"09/28/2023, 4:26:00 AM","09/29/2023, 6:16:32 AM",BEL AIR,MD,.,CONOWINGO RD & FORGE HILL RD, HCSO]-DWI/DUI - NO ACCIDENT INVOLVED,Traffic,DWI/DUI - NO ACCIDENT INVOLVED
202300243588,"09/08/2023, 3:00:00 PM","09/29/2023, 6:16:29 AM",ABINGDON,MD,.,3900 Block LONGLEY RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300249352,"09/26/2023, 10:05:00 PM","09/29/2023, 6:16:24 AM",EDGEWOOD,MD,21040,MEADOWOOD DR @ MEADOWOOD CT, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300250228,"09/11/2023, 11:00:00 PM","09/29/2023, 6:16:24 AM",BEL AIR,MD,.,100 Block N TOLLGATE RD, HCSO]-M/V UNAUTHORIZED USE,Theft of Vehicle,M/V UNAUTHORIZED USE
202300250076,"09/27/2023, 3:00:00 AM","09/29/2023, 6:16:24 AM",BELCAMP,MD,.,1400 Block GOLDEN ROD CT, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300248273,"09/21/2023, 1:00:00 PM","09/29/2023, 6:16:30 AM",ABINGDON,MD,.,3600 Block WOODSDALE RD, HCSO]-THEFT - FROM BUILDING,Other Theft,THEFT - FROM BUILDING
202300246209,"09/22/2023, 10:00:00 PM","09/29/2023, 6:16:26 AM",BELCAMP,MD,.,1300 Block RIVERSIDE PARKWAY, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300250169,"09/27/2023, 4:30:00 PM","09/29/2023, 6:16:24 AM",EDGEWOOD,MD,.,2400 Block WILLOUGHBY BEACH RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300248998,"09/22/2023, 10:00:00 PM","09/29/2023, 6:16:31 AM",JOPPA,MD,21085,TRIMBLE RD@FOSTER KNOLL DR, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300236473,"09/11/2023, 5:10:00 PM","09/29/2023, 6:16:27 AM",JOPPA,MD,.,200 Block FORT HOYLE RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300250207,"09/27/2023, 7:00:00 PM","09/29/2023, 6:16:32 AM",EDGEWOOD,MD,.,WOODBRIDGE CENTER WAY & PULASKI HWY, HCSO]-M/V-RECOVERED STOLEN FROM OTHER JURISDICTION,Vehicle Recovery,M/V-RECOVERED STOLEN FROM OTHER JURISDICTION
202300249955,"09/27/2023, 2:40:00 PM","09/29/2023, 6:16:32 AM",ABINGDON,MD,.,3300 Block TRELLIS LN, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300247412,"09/24/2023, 10:00:00 AM","09/29/2023, 5:59:43 AM",EDGEWOOD,MD,.,1800 Block EDGEWOOD RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300249601,"09/27/2023, 3:50:00 AM","09/29/2023, 5:59:50 AM",EDGEWOOD,MD,.,2800 Block BECKON DR, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202300249157,"09/26/2023, 6:00:00 PM","09/29/2023, 4:24:08 AM",EDGEWOOD,MD,.,1900 Block EDGEWATER DR," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300245768,"09/22/2023, 10:39:00 AM","09/29/2023, 4:23:46 AM",EDGEWOOD,MD,.,1800 Block EDGEWOOD RD, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300237018,"09/12/2023, 4:10:00 AM","09/29/2023, 4:24:20 AM",BEL AIR,MD,.,1800 Block WYE MILLS LN, HCSO]-ASSAULT-AGGRAVATED (PERSONAL WEAPONS),Other,ASSAULT-AGGRAVATED (PERSONAL WEAPONS)
202300250316,"09/20/2023, 9:00:00 PM","09/29/2023, 4:23:49 AM",EDGEWOOD,MD,.,2400 Block WILLOUGHBY BEACH RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300250365,"09/27/2023, 11:00:00 PM","09/28/2023, 10:56:01 PM",EDGEWOOD,MD,.,700 Block LILLY POND CT, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300250400,"09/01/2023, 7:00:00 PM","09/28/2023, 9:53:37 PM",BEL AIR,MD,.,100 Block CHATHAM RD, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202300247303,"09/23/2023, 5:21:00 PM","09/28/2023, 9:53:34 PM",ABERDEEN,MD,.,200 Block MAYBERRY DR," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202300248701,"09/26/2023, 5:00:00 AM","09/28/2023, 9:53:35 PM",ABINGDON,MD,.,2500 Block PARLIAMENT DR, HCSO]-ARSON OTHER,Arson,ARSON OTHER
202300248786,"09/25/2023, 7:40:00 AM","09/28/2023, 9:53:35 PM",JOPPA,MD,21085,600 Block PULASKI HWY, HCSO]-THEFT - SHOPLIFTING,Other Theft,THEFT - SHOPLIFTING
202300241792,"09/16/2023, 10:00:00 PM","09/28/2023, 11:50:34 AM",ABINGDON,MD,.,3400 Block EMMORTON RD, HCSO]-THEFT - POCKET PICKING,Other,THEFT - POCKET PICKING
202300249525,"09/25/2023, 8:15:00 PM","09/28/2023, 11:50:31 AM",FOREST HILL,MD,21050,1 Block NEWPORT DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300249481,"09/26/2023, 11:00:00 PM","09/28/2023, 11:50:34 AM",STREET,MD,.,4300 Block MADONNA RD, HCSO]-TRESPASSING,Property Crime,TRESPASSING
202300249770,"09/27/2023, 8:00:00 AM","09/28/2023, 4:38:50 AM",FOREST HILL,MD,.,800 Block YVETTE DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202300249282,"09/26/2023, 1:00:00 PM","09/28/2023, 4:39:22 AM",JOPPA,MD,.,300 Block TRIMBLE RD, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202300249183,"09/26/2023, 7:08:00 PM","09/28/2023, 4:38:50 AM",BEL AIR,MD,.,1 Block N MAIN ST, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300249346,"09/26/2023, 10:06:00 PM","09/28/2023, 4:38:50 AM",EDGEWOOD,MD,.,2300 Block WILLOUGHBY BEACH RD, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202300246920,"09/23/2023, 10:22:00 PM","09/28/2023, 4:39:21 AM",BEL AIR,MD,.,1100 Block ROYSTON PL, HCSO]-UNATTENDED DEATH (NO MURDER),Death,UNATTENDED DEATH (NO MURDER)
202300244922,"09/12/2023, 7:00:00 AM","09/28/2023, 4:39:21 AM",ABERDEEN,MD,.,TECHNOLOGY DR & UNIVERSITY SQ, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300248565,"09/25/2023, 9:00:00 PM","09/28/2023, 4:38:50 AM",BEL AIR,MD,.,600 Block GAIRLOCH PL, HCSO]-MISSING PERSON,Missing Person,MISSING PERSON
202300246597,"09/23/2023, 9:00:00 AM","09/28/2023, 4:38:47 AM",EDGEWOOD,MD,.,500 Block MEADOWOOD DR, HCSO]-TRESPASSING,Property Crime,TRESPASSING
