ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202200295808,"12/04/2022, 4:05:00 AM","07/28/2023, 12:26:16 AM",BEL AIR,MD,.,POWELL AVE & MAITLAND ST, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202200244770,"10/03/2022, 10:00:00 PM","07/27/2023, 9:53:43 AM",JOPPA,MD,.,1 Block NEPTUNE DR, HCSO]-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Other Theft,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME
202200242472,"10/03/2022, 5:50:00 AM","07/27/2023, 8:52:57 AM",EDGEWOOD,MD,.,1000 Block LAKE FRONT DR, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202200257554,"10/19/2022, 2:30:00 PM","07/26/2023, 8:52:02 AM",PYLESVILLE,MD,.,200 Block PYLESVILLE RD, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202200283724,"11/19/2022, 10:30:00 PM","07/19/2023, 1:10:23 AM",ABINGDON,MD,.,2900 Block HARROGATE WAY, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300159846,"12/01/2022, 7:00:00 AM","07/12/2023, 8:04:40 AM",ABERDEEN,MD,.,1500 Block S PHILADELPHIA BLVD, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202200289593,"11/12/2022, 7:01:00 AM","07/12/2023, 12:47:36 AM",BEL AIR,MD,.,1900 Block MILLINGTON SQ, HCSO]-HACKING/COMPUTER INVASION,Other Theft,HACKING/COMPUTER INVASION
202300158267,"12/14/2022, 7:00:00 AM","07/12/2023, 12:47:42 AM",ABINGDON,MD,.,200 Block FINGERTIP RD, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300126296,"11/01/2022, 7:00:00 PM","06/19/2023, 8:59:33 AM",PYLESVILLE,MD,.,700 Block OLD PYLESVILLE RD, HCSO]-THEFT - FROM MOTOR VEHICLE,Theft from Vehicle,THEFT - FROM MOTOR VEHICLE
202300143647,"12/20/2022, 7:00:00 PM","06/12/2023, 12:21:41 AM",BEL AIR,MD,.,1100 Block MALKUS WAY, HCSO]-PORNOGRAPHY/OBSCENE MATERIAL,Other,PORNOGRAPHY/OBSCENE MATERIAL
202300134674,"12/24/2022, 7:00:00 AM","06/11/2023, 8:05:10 AM",BEL AIR,MD,.,700 Block CLEARVIEW DR, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300114030,"11/04/2022, 4:00:00 PM","06/08/2023, 12:22:53 AM",JOPPA,MD,.,500 Block TWIN BROOK LN, HCSO]-IDENTITY THEFT,Other Theft,IDENTITY THEFT
202300141643,"10/01/2022, 7:00:00 AM","06/06/2023, 7:52:10 AM",ABERDEEN,MD,.,1300 Block PERRYMAN RD, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202100409290,"11/19/2022, 7:48:00 PM","05/31/2023, 8:29:44 AM",EDGEWOOD,MD,.,600 Block TEABERRY AVE, HCSO]-DRUG OVERDOSE-ACCIDENTAL,Quality of Life,DRUG OVERDOSE-ACCIDENTAL
202200315802,"12/27/2022, 6:46:00 PM","05/16/2023, 2:07:59 PM",FALLSTON,MD,.,2300 Block PARLOR CT, HCSO]-CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD,Other Theft,CREDIT CARD/AUTOMATED TELLER/MACHINE FRAUD
202200251774,"10/01/2022, 7:00:00 AM","05/16/2023, 6:51:24 AM",ABERDEEN,MD,.,200 Block W BEL AIR AVE, HCSO]-HUMAN TRAFFICKING-COMMERCIAL SEX ACTS,Other Sexual Offense,HUMAN TRAFFICKING-COMMERCIAL SEX ACTS
202200297882,"12/06/2022, 3:30:00 PM","05/05/2023, 6:18:44 AM",JOPPA,MD,.,200 Block FORT HOYLE RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300102141,"12/25/2022, 7:00:00 AM","05/04/2023, 10:51:29 PM",JARRETTSVILLE,MD,.,3700 Block NORRISVILLE RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300105138,"12/16/2022, 7:00:00 AM","05/03/2023, 2:03:41 PM",JOPPA,MD,.,400 Block PULASKI HWY, HCSO]-THEFT - MV PARTS & ACCESSORIES,Other Theft,THEFT - MV PARTS & ACCESSORIES
202200311242,"12/22/2022, 1:15:00 AM","05/01/2023, 10:21:46 PM",BEL AIR,MD,.,1100 Block VANGUARD WAY, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300103335,"10/29/2022, 7:00:00 AM","04/29/2023, 7:08:32 AM",CATONSVILLE,MD,21228,6600 Block BALTIMORE NATIONAL PIKE, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300086540,"12/15/2022, 9:00:00 PM","04/27/2023, 10:16:00 PM",DARLINGTON,MD,.,2000 Block JENNINGS LN, HCSO]-THEFT - ALL OTHER,Other Theft,THEFT - ALL OTHER
202200275686,"11/10/2022, 2:30:00 PM","04/27/2023, 2:10:21 PM",JOPPA,MD,.,400 Block PULASKI HWY, HCSO]-ASSAULT-SIMPLE,Assault,ASSAULT-SIMPLE
202200309014,"11/28/2022, 2:30:00 PM","04/27/2023, 6:04:21 AM",BEL AIR,MD,.,HARFORD TECHNICAL HIGH SCHOOL, HCSO]-DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Other Property Crime,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY
202300079919,"12/18/2022, 7:00:00 PM","04/25/2023, 6:23:37 AM",ABINGDON,MD,21009,400 Block AMY DR, HCSO]-ALL OTHER OFFENSES,Other,ALL OTHER OFFENSES
202200291053,"11/28/2022, 2:00:00 PM","04/24/2023, 7:05:33 AM",BEL AIR,MD,.,HARFORD TECHNICAL HIGH SCHOOL, HCSO]-DRUG/NARCOTIC VIOLATIONS,Drugs,DRUG/NARCOTIC VIOLATIONS
202200312518,"12/15/2022, 1:34:00 AM","04/24/2023, 7:05:33 AM",ABINGDON,MD,.,400 Block CONSTANT FRIENDSHIP BLVD, HCSO]-THEFT - SHOPLIFTING,Other Theft,THEFT - SHOPLIFTING
202200266093,"10/30/2022, 7:05:00 PM","04/20/2023, 2:05:21 PM",BEL AIR,MD,.,1000 Block ROCK SPRING RD, HCSO]-DRUG OVERDOSE-ACCIDENTAL,Quality of Life,DRUG OVERDOSE-ACCIDENTAL
202200262605,"10/24/2022, 8:00:00 PM","04/17/2023, 9:03:18 PM",JARRETTSVILLE,MD,.,1400 Block NORTH BEND RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202300002138,"12/01/2022, 7:00:00 AM","04/17/2023, 9:03:19 PM",EDGEWOOD,MD,.,1600 Block HANSON RD, HCSO]-PROPERTY-LOST/FOUND/RECOVERED,Other,PROPERTY-LOST/FOUND/RECOVERED
202200311549,"12/01/2022, 4:30:00 PM","04/17/2023, 9:03:19 PM",FOREST HILL,MD,.,100 Block OSBORNE PKY, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
202200271230,"10/02/2022, 4:00:00 PM","04/17/2023, 9:03:18 PM",ABINGDON,MD,.,400 Block CONSTANT FRIENDSHIP BLVD, HCSO]-BAD CHECKS,Other,BAD CHECKS
202200290899,"11/28/2022, 2:00:00 PM","04/17/2023, 9:03:18 PM",EDGEWOOD,MD,.,1700 Block MELWOOD CT," HCSO]-FAMILY OFFENSES, NONVIOLENT",Family Offense,"FAMILY OFFENSES, NONVIOLENT"
202200281743,"11/14/2022, 7:00:00 PM","04/17/2023, 9:03:18 PM",PYLESVILLE,MD,.,1100 Block RIDGE RD, HCSO]-POLICE INFORMATION,Other,POLICE INFORMATION
