ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-0001908-1,"06/13/2023, 12:00:21 AM","07/28/2023, 7:53:32 AM",HYATTSVILLE,MD,.,3400 Block E WEST HWY EB,RMS 23H - THEFT (PACKAGE/PARCEL),Theft,THEFT (PACKAGE/PARCEL)
23-0001656-2,"06/29/2023, 8:50:03 AM","07/13/2023, 12:08:14 AM",HYATTSVILLE,MD,.,BALTIMORE AVE NB & LONGFELLOW ST,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0001660-5,"06/29/2023, 6:00:30 PM","07/08/2023, 3:48:56 PM",HYATTSVILLE,MD,.,3400 Block E WEST HWY EB,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0001660-4,"06/29/2023, 6:00:30 PM","07/08/2023, 3:48:56 PM",HYATTSVILLE,MD,.,3400 Block E WEST HWY EB,RMS 35A - DRUG/NARCOTIC VIOLATION,Quality of Life,DRUG/NARCOTIC VIOLATION
23-0001671-1,"06/30/2023, 3:38:00 PM","07/07/2023, 6:49:52 PM",HYATTSVILLE,MD,.,HAMILTON MANOR DR & QUEENS CHAPEL RD NB,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0001618-1,"06/24/2023, 12:53:00 AM","07/07/2023, 7:57:28 AM",HYATTSVILLE,MD,.,E WEST HWY EB & TOLEDO TER,RMS NON SPECIFIED MUST APPEAR TRAFFIC OFFENSES,Traffic,NON SPECIFIED MUST APPEAR TRAFFIC OFFENSES
23-0001701-2,"06/30/2023, 2:00:00 PM","07/06/2023, 12:39:52 AM",HYATTSVILLE,MD,.,3900 Block NICHOLSON ST,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0001701-1,"06/30/2023, 2:00:00 PM","07/06/2023, 12:39:52 AM",HYATTSVILLE,MD,.,3900 Block NICHOLSON ST,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
23-0001694-1,"06/26/2023, 8:00:00 PM","07/04/2023, 7:27:49 AM",HYATTSVILLE,MD,.,2900 Block HAMILTON ST,RMS 26B - FRAUD (CREDIT CARD/AUTOMATED TELLER MACHINE),Theft,FRAUD (CREDIT CARD/AUTOMATED TELLER MACHINE)
23-0001652-2,"06/28/2023, 2:00:00 AM","07/04/2023, 7:27:47 AM",HYATTSVILLE,MD,.,3500 Block E WEST HWY WB,RMS 26B - FRAUD (CREDIT CARD/AUTOMATED TELLER MACHINE),Theft,FRAUD (CREDIT CARD/AUTOMATED TELLER MACHINE)
23-0001652-1,"06/28/2023, 2:00:00 AM","07/04/2023, 7:27:47 AM",HYATTSVILLE,MD,.,3500 Block E WEST HWY WB,RMS 23F - THEFT (FROM MOTOR VEHICLE),Theft from Vehicle,THEFT (FROM MOTOR VEHICLE)
23-0001673-1,"06/30/2023, 5:49:00 PM","07/03/2023, 12:31:53 AM",HYATTSVILLE,MD,.,5700 Block 45TH AVE,RMS 90Z - TRASH DUMPING,Other,TRASH DUMPING
HYP23063000000072,"07/01/2023, 5:26:08 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,4200 Block OGLETHORPE ST,CFS GNSHOT GUNSHOTS,Other,"GUNSHOTS<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000075,"07/01/2023, 6:31:29 AM","07/01/2023, 3:16:36 PM",MOUNT RAINIER,MD,.,3400 Block RHODE ISLAND AVE SB,CFS ASSIST ASSIST,Other,"ASSIST<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000070,"07/01/2023, 5:12:59 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,3100 Block HAMILTON ST,CFS CKPER SUSPICIOUS PERSON,Other,"SUSPICIOUS PERSON<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000069,"07/01/2023, 4:19:52 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,2900 Block HAMILTON ST,CFS PT PART TIME,Other,"PART TIME<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000074,"07/01/2023, 5:42:00 AM","07/01/2023, 3:16:36 PM",HYATTSVILLE,MD,.,6500 Block AMERICA BLVD,CFS CKPER SUSPICIOUS PERSON,Other,"SUSPICIOUS PERSON<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000073,"07/01/2023, 5:26:42 AM","07/01/2023, 3:16:36 PM",HYATTSVILLE,MD,.,6000 Block 42ND AVE,CFS XXX MISC CALLS,Other,"MISC CALLS<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000067,"07/01/2023, 4:05:19 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,6200 Block MONITOR ST,CFS CKPERA SUSPICIOUS OCC AUTO,Other,"SUSPICIOUS OCC AUTO<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000068,"07/01/2023, 4:19:26 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,5300 Block QUEENS CHAPEL RD SB,CFS PT PART TIME,Other,"PART TIME<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23063000000071,"07/01/2023, 5:22:40 AM","07/01/2023, 3:16:35 PM",HYATTSVILLE,MD,.,5300 Block BALTIMORE AVE NB,CFS PALRMC PROPERTY ALARM COMMERCIAL,Other,"PROPERTY ALARM COMMERCIAL<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
