ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-0001961-1,"01/26/2023, 4:00:00 AM","08/03/2023, 7:50:44 AM",HYATTSVILLE,MD,.,1 Block AVE & GALLATIN ST,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0001862-1,"02/22/2023, 6:00:00 AM","07/22/2023, 11:57:53 PM",HYATTSVILLE,MD,.,6500 Block BELCREST RD,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
23-0001780-1,"01/01/2023, 7:00:00 AM","07/15/2023, 7:31:22 AM",HYATTSVILLE,MD,.,2700 Block NICHOLSON ST,RMS 11D - SEX OFFENSE (FONDLING),Sexual Offense,SEX OFFENSE (FONDLING)
23-0001640-1,"01/27/2023, 4:04:59 PM","06/27/2023, 11:15:45 PM",HYATTSVILLE,MD,.,4400 Block OGLETHORPE ST,RMS 26A - FRAUD (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),Theft,FRAUD (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME)
23-0001323-1,"03/15/2023, 7:00:00 AM","05/29/2023, 5:59:32 AM",HYATTSVILLE,MD,.,4600 Block BALTIMORE AVE,RMS 23C - THEFT (SHOPLIFTING),Theft,THEFT (SHOPLIFTING)
23-0000496-2,"02/25/2023, 2:30:00 AM","05/16/2023, 3:16:03 PM",HYATTSVILLE,MD,20782,5600 Block HAMILTON MANOR DR,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
23-0001011-1,"03/05/2023, 8:41:00 PM","04/24/2023, 7:09:52 AM",HYATTSVILLE,MD,.,3500 Block E WEST HWY WB,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0000255-1,"01/27/2023, 4:00:00 PM","04/19/2023, 9:46:44 AM",HYATTSVILLE,MD,.,3300 Block TOLEDO RD,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
23-0000967-1,"02/24/2023, 8:00:00 PM","04/18/2023, 10:46:37 PM",HYATTSVILLE,MD,.,2700 Block NICHOLSON ST,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0000529-1,"03/01/2023, 5:00:00 AM","04/18/2023, 6:10:50 AM",HYATTSVILLE,MD,.,3300 Block TOLEDO TER,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
