ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-0002441-1,"10/01/2023, 1:30:00 AM","10/01/2023, 1:20:58 PM",HYATTSVILLE,MD,.,6500 Block ADELPHI RD SB,RMS 90Z - TELEPHONE MISUSE,Other,TELEPHONE MISUSE
23-0002443-1,"10/01/2023, 3:58:00 AM","10/01/2023, 1:21:04 PM",HYATTSVILLE,MD,.,5300 Block QUEENS CHAPEL RD SB,RMS 120 - CARJACKING,Robbery,CARJACKING
HYP23093000000067,"10/01/2023, 5:17:09 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,2900 Block BELCREST CENTER DR,CFS HYP TRANSFER TO HYATTSVILLE CITY,Other,"TRANSFER TO HYATTSVILLE CITY<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000061,"10/01/2023, 4:03:21 AM","10/01/2023, 1:21:12 PM",HYATTSVILLE,MD,.,5000 Block RHODE ISLAND AVE SB,CFS DOMEST DOMESTIC,Other,"DOMESTIC<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000062,"10/01/2023, 4:07:49 AM","10/01/2023, 1:21:12 PM",HYATTSVILLE,MD,.,3100 Block MADISON ST,CFS DISORD DISORDERLY,Other,"DISORDERLY<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000063,"10/01/2023, 4:16:12 AM","10/01/2023, 1:21:12 PM",HYATTSVILLE,MD,.,5300 Block QUEENS CHAPEL RD SB,CFS PT PART TIME,Other,"PART TIME<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000064,"10/01/2023, 4:17:17 AM","10/01/2023, 1:21:12 PM",HYATTSVILLE,MD,.,2900 Block HAMILTON ST,CFS PT PART TIME,Other,"PART TIME<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000071,"10/01/2023, 6:53:41 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,5300 Block AGER RD NB,CFS T TRAFFIC STOP,Other,"TRAFFIC STOP<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000070,"10/01/2023, 6:39:39 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,AGER RD NB & HAMILTON ST,CFS T TRAFFIC STOP,Other,"TRAFFIC STOP<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000069,"10/01/2023, 5:55:56 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,RHODE ISLAND AVE & 42ND PL,CFS T TRAFFIC STOP,Other,"TRAFFIC STOP<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000066,"10/01/2023, 5:05:27 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,HAMILTON ST & AGER RD NB,CFS T TRAFFIC STOP,Other,"TRAFFIC STOP<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000060,"10/01/2023, 3:58:38 AM","10/01/2023, 1:21:12 PM",HYATTSVILLE,MD,.,5300 Block QUEENS CHAPEL RD SB,CFS CARJK REPORTED CARJACKING,Other,"REPORTED CARJACKING<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000072,"10/01/2023, 6:54:30 AM","10/01/2023, 1:21:14 PM",HYATTSVILLE,MD,.,3900 Block HAMILTON ST,CFS CKPREM PREMISE CHECK,Other,"PREMISE CHECK<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000073,"10/01/2023, 6:58:11 AM","10/01/2023, 1:21:14 PM",HYATTSVILLE,MD,.,6000 Block AGER RD NB,CFS CKPREM PREMISE CHECK,Other,"PREMISE CHECK<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000065,"10/01/2023, 4:38:06 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,7000 Block ADELPHI RD SB,CFS CKPREM PREMISE CHECK,Other,"PREMISE CHECK<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
HYP23093000000068,"10/01/2023, 5:21:27 AM","10/01/2023, 1:21:13 PM",HYATTSVILLE,MD,.,5700 Block AGER RD SB,CFS T TRAFFIC STOP,Other,"TRAFFIC STOP<br /><br />DISCLAIMER PLEASE READ
The information displayed on the CrimeReports.com website is basic preliminary data and is subject to change.  The information offered is not meant to be used as an official statistical tool to measure crime.  The reader should not rely solely on the data provided, as it is to be used for general information purposes only."
23-0002442-1,"09/30/2023, 5:00:00 PM","10/01/2023, 12:03:11 PM",HYATTSVILLE,MD,.,3500 Block E WEST HWY WB,RMS 23D - THEFT (FROM BUILDING),Theft,THEFT (FROM BUILDING)
