ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-0000993-2,"11/05/2022, 7:00:00 AM","05/09/2023, 9:24:36 PM",HYATTSVILLE,MD,.,5000 Block 38TH AVE,RMS 250 - COUNTERFEITING/FORGERY,Theft,COUNTERFEITING/FORGERY
23-0000993-1,"11/05/2022, 7:00:00 AM","04/21/2023, 8:58:42 AM",HYATTSVILLE,MD,.,5000 Block 38TH AVE,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
23-0000868-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000867-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000867-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:28 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000866-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000866-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000864-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000864-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000862-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000862-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000861-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000861-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000863-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000863-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,5700 Block 29TH AVE,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000865-2,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 290 - DESTRUCTION/DAMAGE/VANDALISM PROPERTY,Property Crime,DESTRUCTION/DAMAGE/VANDALISM PROPERTY
23-0000865-1,"12/17/2022, 7:00:00 AM","04/07/2023, 5:57:29 AM",HYATTSVILLE,MD,.,2800 Block NICHOLSON ST,RMS 220 - BURGLARY/BREAKING AND ENTERING,Breaking & Entering,BURGLARY/BREAKING AND ENTERING
23-0000852-1,"12/29/2022, 11:00:00 PM","04/06/2023, 6:02:14 AM",HYATTSVILLE,MD,.,4600 Block BALTIMORE AVE,RMS 240 - MOTOR VEHICLE THEFT,Theft of Vehicle,MOTOR VEHICLE THEFT
23-0000623-1,"10/24/2022, 5:00:00 AM","03/13/2023, 3:03:52 PM",HYATTSVILLE,MD,.,4200 Block MADISON ST,RMS 11D - SEX OFFENSE (FONDLING),Sexual Offense,SEX OFFENSE (FONDLING)
23-0000597-1,"12/26/2022, 7:00:00 AM","03/10/2023, 4:35:17 AM",HYATTSVILLE,MD,.,5000 Block 40TH PL,RMS 23G - THEFT (PARTS/ACCESSORIES FROM MOTOR VEHICLE),Theft from Vehicle,THEFT (PARTS/ACCESSORIES FROM MOTOR VEHICLE)
22-0002572-1,"10/10/2022, 4:09:00 AM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,HAMILTON ST & 38TH AVE,RMS 90D - DRIVING UNDER INFLUENCE,Traffic,DRIVING UNDER INFLUENCE
22-0003253-1,"10/10/2022, 7:00:00 PM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,3300 Block TOLEDO RD,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
22-0002610-1,"10/14/2022, 9:00:00 PM","03/04/2023, 1:33:34 AM",HYATTSVILLE,MD,.,7000 Block ADELPHI RD SB,RMS 370 - PORNOGRAPHY/OBSCENE MATERIAL,Sexual Offense,PORNOGRAPHY/OBSCENE MATERIAL
22-0002683-1,"10/16/2022, 4:00:00 PM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,4300 Block JEFFERSON ST,RMS 250 - COUNTERFEITING/FORGERY,Theft,COUNTERFEITING/FORGERY
22-0002630-1,"10/17/2022, 7:00:01 AM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,4300 Block MADISON ST,RMS 13C - THREAT (MASS INJURY/VIOLENCE/TERRORIST),Assault,THREAT (MASS INJURY/VIOLENCE/TERRORIST)
22-0002845-1,"10/17/2022, 6:00:00 PM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,3400 Block STANFORD ST,RMS 36B - SEX OFFENSE (STATUTORY RAPE),Sexual Offense,SEX OFFENSE (STATUTORY RAPE)
22-0002643-1,"10/18/2022, 1:00:00 AM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,4300 Block MADISON ST,RMS 23H - THEFT (OTHER),Theft,THEFT (OTHER)
22-0002644-1,"10/19/2022, 5:08:00 PM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,5800 Block 42ND AVE,RMS 13B - ASSAULT (SIMPLE),Assault,ASSAULT (SIMPLE)
22-0002687-1,"10/20/2022, 8:00:11 AM","03/04/2023, 1:33:35 AM",HYATTSVILLE,MD,.,3000 Block BELCREST CENTER DR,RMS 23F - THEFT (FROM MOTOR VEHICLE),Theft from Vehicle,THEFT (FROM MOTOR VEHICLE)
22-0002658-1,"10/20/2022, 5:30:00 PM","03/04/2023, 1:33:34 AM",HYATTSVILLE,MD,.,5600 Block AGER RD SB,RMS 23F - THEFT (FROM MOTOR VEHICLE),Theft from Vehicle,THEFT (FROM MOTOR VEHICLE)
