ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300016949,"07/01/2023, 6:44:50 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,1000 Block FAIRGROUND DR,SUSP-SUSPICION,Other,Suspicion
202300016948,"07/01/2023, 6:07:40 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,NORTHWOOD DR & ALEXANDER AVE,01050-M/V ACCIDENT,Other,M/V Accident
202300016947,"07/01/2023, 5:09:24 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,FAIRGROUND DR & PARSONS RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300016946,"07/01/2023, 5:05:55 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21804,700 Block RAMSEY CT,01016-DOMESTIC DISTURBANCE,Quality of Life,Domestic Disturbance
202300016945,"07/01/2023, 5:05:45 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21804,1000 Block SPRING AVE,THREA-THREATS/ HARASSMENT,Other,Threats/ Harassment
202300016944,"07/01/2023, 4:53:28 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21804,31900 Block SUMMER DR,MDOP-VANDALISM / MDOP,Other,Vandalism / MDOP
202300016943,"07/01/2023, 4:29:46 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,400 Block VIRGINIA AVE,MVTH-M/V THEFT,Other,M/V Theft
202300016942,"07/01/2023, 3:50:30 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,200 Block E MAIN ST,01010-FIGHT,Quality of Life,Fight
202300016941,"07/01/2023, 3:17:21 AM","07/02/2023, 7:12:49 PM",SALISBURY,MD,21801,500 Block RIVERSIDE DR,ALARM-ALARM,Other,Alarm
202300016940,"07/01/2023, 2:24:37 AM","07/02/2023, 7:12:48 PM",SALISBURY,MD,21801,1000 Block FAIRGROUND DR,01037-(INVESTIGATE) SUSP PERSON,Proactive Policing,(Investigate) Susp Person
202300016939,"07/01/2023, 2:21:27 AM","07/02/2023, 7:12:48 PM",SALISBURY,MD,21804,500 Block COVENTRY LN,"ASSS-ASSAULT: SIMPLE, NOT AGG",Other,"Assault: Simple, Not Agg"
