ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300008219,"04/01/2023, 6:57:45 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,1000 Block S SALISBURY BLVD,BC-BUSINESS CHECK,Other,Business Check
202300008218,"04/01/2023, 6:25:42 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,400 Block SNOW HILL RD,01057-HIT AND RUN ACCIDENT,Other,Hit And Run Accident
202300008217,"04/01/2023, 6:11:17 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,2200 Block NORTHWOOD DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008216,"04/01/2023, 5:42:09 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,1000 Block FAIRGROUND DR,TRES-TRESPASSING,Other,Trespassing
202300008215,"04/01/2023, 5:33:34 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,600 Block S SALISBURY BLVD,DIST-DISTURBANCE COMPLAINT,Other,Disturbance Complaint
202300008214,"04/01/2023, 5:27:22 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,400 Block E NORTH POINTE DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008213,"04/01/2023, 5:24:21 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,100 Block E MAIN ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008212,"04/01/2023, 5:08:28 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,600 Block HAMMOND ST,00911-911 HANG-UP,Other,911 Hang-up
202300008211,"04/01/2023, 5:03:56 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,900 Block S SALISBURY BLVD,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300008210,"04/01/2023, 4:39:54 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,ROGER ST & WASHINGTON ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008209,"04/01/2023, 4:36:15 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,6100 Block FULLER LN,AOP-ASSIST OTHER POLICE,Other,Assist Other Police
202300008208,"04/01/2023, 4:25:19 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,NAYLOR ST & E CHURCH ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008207,"04/01/2023, 4:23:51 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,200 Block MONTICELLO AVE,01011-ANIMAL COMPLAINTS,Proactive Policing,Animal Complaints
202300008206,"04/01/2023, 4:21:33 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,NAYLOR ST & BAKER ST,FIR-FIELD INTERVIEW,Other,Field Interview
202300008205,"04/01/2023, 3:38:44 AM","04/02/2023, 7:11:54 PM",SALISBURY,MD,.,.,AOP-ASSIST OTHER POLICE,Other,Assist Other Police
202300008204,"04/01/2023, 3:38:03 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,1300 Block S DIVISION ST,ALARM-ALARM,Other,Alarm
202300008203,"04/01/2023, 3:21:18 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,1000 Block FAIRGROUND DR,OVER-OVERDOSE,Other,Overdose
202300008202,"04/01/2023, 3:17:46 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,500 Block COVENTRY LN,01010-FIGHT,Quality of Life,Fight
202300008201,"04/01/2023, 3:07:38 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,700 Block S PARK DR,ALARM-ALARM,Other,Alarm
202300008200,"04/01/2023, 2:50:13 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,2300 Block N SALISBURY BLVD,01050-M/V ACCIDENT,Other,M/V Accident
202300008199,"04/01/2023, 2:47:17 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21804,700 Block S PARK DR,ALARM-ALARM,Other,Alarm
202300008198,"04/01/2023, 2:38:02 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,100 Block W COLLEGE AVE,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202300008197,"04/01/2023, 2:01:17 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,600 Block S SALISBURY BLVD,OPS-OTHER PUBLIC SERVICE,Other,Other Public Service
202300008196,"04/01/2023, 1:50:36 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,700 Block S SALISBURY BLVD,OPS-OTHER PUBLIC SERVICE,Other,Other Public Service
202300008195,"04/01/2023, 1:42:30 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,DELAWARE AVE & BOOTH ST,01050-M/V ACCIDENT,Other,M/V Accident
202300008194,"04/01/2023, 1:41:32 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,700 Block S SALISBURY BLVD,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202300008193,"04/01/2023, 1:39:07 AM","04/02/2023, 7:12:57 PM",SALISBURY,MD,21801,1300 Block S SALISBURY BLVD,SUSP-SUSPICION,Other,Suspicion
202300008192,"04/01/2023, 1:29:28 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,E SALISBURY PKWY & TILGHMAN RD,01046-DISABLED VEHICLE,Traffic,Disabled Vehicle
202300008191,"04/01/2023, 1:10:02 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,CS-CRIMINAL SUMMONS SERVICE,Other,Criminal Summons Service
202300008190,"04/01/2023, 12:48:38 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,1000 Block S SALISBURY BLVD,ESCO-ESCORTS,Other,Escorts
202300008189,"04/01/2023, 12:34:52 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,100 Block E CARROLL ST,01057-HIT AND RUN ACCIDENT,Other,Hit And Run Accident
202300008188,"04/01/2023, 12:33:28 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,W COLLEGE AVE & CAMDEN AVE,SUSP-SUSPICION,Other,Suspicion
202300008187,"04/01/2023, 12:15:57 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,1200 Block OLD OCEAN CITY RD,01010-FIGHT,Quality of Life,Fight
202300008185,"04/01/2023, 12:05:03 AM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,200 Block DYKES RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008184,"03/31/2023, 11:44:25 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,600 Block DOVER ST,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202300008183,"03/31/2023, 11:40:21 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,W ISABELLA ST & LAKE ST,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300008182,"03/31/2023, 11:38:28 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,400 Block CAMDEN CT,PO-EX - PARTE ORDER SERVICE,Other,Ex - Parte Order Service
202300008181,"03/31/2023, 11:27:34 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,2700 Block N SALISBURY BLVD,TOW-TOWED M/V,Other,Towed M/V
202300008180,"03/31/2023, 11:26:51 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,28400 Block NAYLOR MILL RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008179,"03/31/2023, 11:23:16 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,1000 Block RORI CT,CS-CRIMINAL SUMMONS SERVICE,Other,Criminal Summons Service
202300008178,"03/31/2023, 11:22:22 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,300 Block E MILL POND LN,TOW-TOWED M/V,Other,Towed M/V
202300008177,"03/31/2023, 11:11:22 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,1200 Block PEMBERTON DR,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300008176,"03/31/2023, 10:53:08 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21801,2700 Block N SALISBURY BLVD,THREA-THREATS/ HARASSMENT,Other,Threats/ Harassment
202300008175,"03/31/2023, 10:49:10 PM","04/02/2023, 7:12:56 PM",SALISBURY,MD,21804,400 Block E CARROLL ST,00911-911 HANG-UP,Other,911 Hang-up
202300008174,"03/31/2023, 10:47:04 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21801,700 Block TAYLOR ST,SHOW-SUMMONS TO TESTIFY SERVIC,Other,Summons To Testify Servic
202300008173,"03/31/2023, 10:39:19 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,WARR-WARRANT/SUBPOENA SERVICE,Other,Warrant/Subpoena Service
202300008172,"03/31/2023, 10:03:58 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21804,600 Block JACKSON ST,CS-CRIMINAL SUMMONS SERVICE,Other,Criminal Summons Service
202300008171,"03/31/2023, 9:50:29 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21804,700 Block RAMSEY CT,CS-CRIMINAL SUMMONS SERVICE,Other,Criminal Summons Service
202300008170,"03/31/2023, 9:33:34 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21804,100 Block ONLEY RD,01016-DOMESTIC DISTURBANCE,Quality of Life,Domestic Disturbance
202300008169,"03/31/2023, 9:29:04 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21801,2600 Block N SALISBURY BLVD,THEFT-THEFT,Other,Theft
202300008168,"03/31/2023, 9:21:01 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,1200 Block NANTICOKE RD,TAMP-TAMPERING WITH M/V,Other,Tampering With M/V
202300008167,"03/31/2023, 9:09:41 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,600 Block LIGHT ST,AOP-ASSIST OTHER POLICE,Other,Assist Other Police
202300008166,"03/31/2023, 9:02:12 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21804,200 Block CANAL PARK DR,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202300008165,"03/31/2023, 9:01:33 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,300 Block LEMMON HILL LN,SUSP-SUSPICION,Other,Suspicion
202300008164,"03/31/2023, 9:00:27 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,2600 Block N SALISBURY BLVD,THEFT-THEFT,Other,Theft
202300008163,"03/31/2023, 8:51:57 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,28700 Block OCEAN GTWY,01057-HIT AND RUN ACCIDENT,Other,Hit And Run Accident
202300008162,"03/31/2023, 8:26:21 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21804,400 Block WOODVIEW SQ,JUV-JUVENILE INCIDENT,Other,Juvenile Incident
202300008161,"03/31/2023, 8:20:54 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21804,400 Block E LINCOLN AVE,SHOW-SUMMONS TO TESTIFY SERVIC,Other,Summons To Testify Servic
202300008160,"03/31/2023, 7:53:49 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21801,200 Block BROAD ST,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300008159,"03/31/2023, 7:47:36 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21804,E CHURCH ST & CHARLES ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008158,"03/31/2023, 7:45:35 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202300008157,"03/31/2023, 7:43:53 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,1000 Block LAKE ST,CS-CRIMINAL SUMMONS SERVICE,Other,Criminal Summons Service
202300008156,"03/31/2023, 7:42:03 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,100 Block W DAGSBORO RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300008155,"03/31/2023, 7:29:49 PM","04/01/2023, 7:12:17 PM",SALISBURY,MD,21801,500 Block RIVERVIEW AVE,MISS-MISSING PERSON,Other,Missing Person
202300008154,"03/31/2023, 7:23:55 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21801,100 Block N DIVISION ST,SUSP-SUSPICION,Other,Suspicion
202300008153,"03/31/2023, 7:20:08 PM","04/01/2023, 7:12:16 PM",SALISBURY,MD,21804,1400 Block BALLINADEE DR,THEFT-THEFT,Other,Theft
