ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202300026051,"09/29/2023, 10:24:51 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,100 Block E MAIN ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026050,"09/29/2023, 10:20:27 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21804,1000 Block MT HERMON RD,TOW-TOWED M/V,Other,Towed M/V
202300026049,"09/29/2023, 10:18:58 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21804,31900 Block SUMMER DR,BC-BUSINESS CHECK,Other,Business Check
202300026047,"09/29/2023, 10:15:59 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,FAIRGROUND DR & PARSONS RD,JUV-JUVENILE INCIDENT,Other,Juvenile Incident
202300026046,"09/29/2023, 10:09:54 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21804,E SALISBURY PKWY & TILGHMAN RD,OTHER-OTHER INCIDENT,Other,Other Incident
202300026045,"09/29/2023, 10:06:38 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,200 Block OHIO AVE,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300026044,"09/29/2023, 9:47:51 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21804,ADAMS AVE & E LINCOLN AVE,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026043,"09/29/2023, 9:41:32 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,MARYLAND AVE & SMITH ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026042,"09/29/2023, 9:02:20 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,600 Block S SALISBURY BLVD,01057-HIT AND RUN ACCIDENT,Other,Hit And Run Accident
202300026041,"09/29/2023, 8:42:46 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,ROSE ST & LAKE ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026040,"09/29/2023, 8:38:53 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,1500 Block N SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026039,"09/29/2023, 8:22:47 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,200 Block NEWTON ST,SUSP-SUSPICION,Other,Suspicion
202300026038,"09/29/2023, 8:10:01 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,1300 Block N SALISBURY BLVD,01050-M/V ACCIDENT,Other,M/V Accident
202300026037,"09/29/2023, 7:31:08 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,600 Block S SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026036,"09/29/2023, 7:26:53 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,2500 Block N SALISBURY BLVD,01011-ANIMAL COMPLAINTS,Proactive Policing,Animal Complaints
202300026035,"09/29/2023, 7:14:30 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,100 Block E CARROLL ST,01050-M/V ACCIDENT,Other,M/V Accident
202300026034,"09/29/2023, 7:03:17 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,600 Block MARVEL RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026033,"09/29/2023, 6:50:13 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21804,500 Block COVENTRY LN,TOW-TOWED M/V,Other,Towed M/V
202300026032,"09/29/2023, 6:40:31 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,SCCR-SPEED CAM CITATION REVIEW,Other,Speed Cam Citation Review
202300026031,"09/29/2023, 6:35:13 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,100 Block E MAIN ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026030,"09/29/2023, 6:34:00 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,500 Block DRUID HILL AVE,MDOP-VANDALISM / MDOP,Other,Vandalism / MDOP
202300026029,"09/29/2023, 6:15:20 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21801,2700 Block N SALISBURY BLVD,BC-BUSINESS CHECK,Other,Business Check
202300026028,"09/29/2023, 6:13:03 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21804,500 Block DOVER ST,PO-EX - PARTE ORDER SERVICE,Other,Ex - Parte Order Service
202300026027,"09/29/2023, 6:00:36 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,800 Block W ISABELLA ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202300026026,"09/29/2023, 5:58:35 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,300 Block DELAWARE AVE,TRAF-TRAFFIC STOP,Other,Traffic Stop
202300026025,"09/29/2023, 5:40:19 PM","09/30/2023, 7:12:33 PM",SALISBURY,MD,21804,100 Block TRUITT ST,BC-BUSINESS CHECK,Other,Business Check
202300026024,"09/29/2023, 5:37:47 PM","09/30/2023, 7:12:32 PM",SALISBURY,MD,21801,N DIVISION ST & OAKDALE RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
