ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
202200031357,"11/11/2022, 10:35:14 PM","07/19/2023, 7:12:26 PM",SALISBURY,MD,21801,1100 Block S SALISBURY BLVD,01016-DOMESTIC DISTURBANCE,Quality of Life,Domestic Disturbance
202200036320,"01/01/2023, 6:49:33 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,1300 Block ASPEN DR,UTIL-UTILITIES COMPLAINT,Other,Utilities Complaint
202200036319,"01/01/2023, 6:30:14 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block RIVERSIDE DR,01096-MENTAL SUBJECT,Emergency,Mental Subject
202200036318,"01/01/2023, 6:25:55 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,1500 Block SHAREN DR,01096-MENTAL SUBJECT,Emergency,Mental Subject
202200036317,"01/01/2023, 6:20:58 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,100 Block OCEAN AISLE CIR,LOUD-NOISE COMPLAINT,Other,Noise Complaint
202200036316,"01/01/2023, 6:18:48 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block GOLDSBOROUGH ST,HOMEV-HOME VISIT,Other,Home Visit
202200036315,"01/01/2023, 6:15:50 AM","01/02/2023, 8:12:41 PM",SALISBURY,MD,21804,800 Block FILLMORE ST,01037-(INVESTIGATE) SUSP PERSON,Proactive Policing,(Investigate) Susp Person
202200036314,"01/01/2023, 6:13:16 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,500 Block W MAIN ST,OVER-OVERDOSE,Other,Overdose
202200036313,"01/01/2023, 6:10:11 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block PEARL ST,TRES-TRESPASSING,Other,Trespassing
202200036312,"01/01/2023, 6:00:36 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,2700 Block N SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036311,"01/01/2023, 5:58:41 AM","01/02/2023, 8:12:41 PM",SALISBURY,MD,21804,100 Block WINTERBORN LN,HOMEV-HOME VISIT,Other,Home Visit
202200036310,"01/01/2023, 5:49:40 AM","01/02/2023, 8:12:41 PM",SALISBURY,MD,21804,700 Block S DIVISION ST,HOMEV-HOME VISIT,Other,Home Visit
202200036309,"01/01/2023, 5:44:22 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,1000 Block S SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036308,"01/01/2023, 5:37:42 AM","01/02/2023, 8:12:41 PM",SALISBURY,MD,21804,PRISCILLA ST & JOHNSON ST,01050-M/V ACCIDENT,Other,M/V Accident
202200036307,"01/01/2023, 5:35:55 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,HEMLOCK ST & SHILOH ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036306,"01/01/2023, 5:29:32 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,900 Block JOHNSON ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036305,"01/01/2023, 5:29:10 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,LIGHT ST & NEWTON ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036304,"01/01/2023, 5:26:41 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,900 Block HANOVER ST,SUSP-SUSPICION,Other,Suspicion
202200036303,"01/01/2023, 5:19:49 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,800 Block S DIVISION ST,HOMEV-HOME VISIT,Other,Home Visit
202200036302,"01/01/2023, 5:17:44 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,W COLLEGE AVE & S TOWER DR,TRAF-TRAFFIC STOP,Other,Traffic Stop
202200036301,"01/01/2023, 5:15:49 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,1300 Block S SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036300,"01/01/2023, 5:13:52 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,700 Block ROGER ST,HOMEV-HOME VISIT,Other,Home Visit
202200036299,"01/01/2023, 5:09:45 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,900 Block JOHNSON ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036298,"01/01/2023, 5:07:08 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,LINCOLN AVE & HEMLOCK ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036297,"01/01/2023, 4:59:27 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,400 Block E CHURCH ST,HOMEV-HOME VISIT,Other,Home Visit
202200036296,"01/01/2023, 4:49:54 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,1200 Block NANTICOKE RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036295,"01/01/2023, 4:36:11 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,2200 Block NORTHWOOD DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036294,"01/01/2023, 4:28:08 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block LAKESIDE DR,HOMEV-HOME VISIT,Other,Home Visit
202200036293,"01/01/2023, 4:21:24 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,500 Block ROSE ST,HOMEV-HOME VISIT,Other,Home Visit
202200036292,"01/01/2023, 4:13:01 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block HILL ST,HOMEV-HOME VISIT,Other,Home Visit
202200036291,"01/01/2023, 4:07:44 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,100 Block W MAIN ST,HOMEV-HOME VISIT,Other,Home Visit
202200036290,"01/01/2023, 4:05:33 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,500 Block CHELSEA CT,SUSP-SUSPICION,Other,Suspicion
202200036289,"01/01/2023, 4:03:58 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,200 Block ONLEY RD,01016-DOMESTIC DISTURBANCE,Quality of Life,Domestic Disturbance
202200036288,"01/01/2023, 3:08:58 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,PIO-POLICE INFORMATION ONLY,Other,Police Information Only
202200036287,"01/01/2023, 2:27:40 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,100 Block PRISCILLA ST,"ASSS-ASSAULT: SIMPLE, NOT AGG",Other,"Assault: Simple, Not Agg"
202200036286,"01/01/2023, 2:24:57 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,700 Block COLLEGE LN,DISOR-DISORDERLY CONDUCT,Other,Disorderly Conduct
202200036285,"01/01/2023, 1:45:32 AM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21801,1500 Block N SALISBURY BLVD,01050-M/V ACCIDENT,Other,M/V Accident
202200036284,"01/01/2023, 1:19:56 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,800 Block SNOW HILL RD,SUSP-SUSPICION,Other,Suspicion
202200036283,"01/01/2023, 1:11:18 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,N SALISBURY BLVD & PRISCILLA ST,01057-HIT AND RUN ACCIDENT,Other,Hit And Run Accident
202200036282,"01/01/2023, 1:02:31 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,1000 Block FAIRGROUND DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036281,"01/01/2023, 12:58:01 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,1000 Block S SALISBURY BLVD,01046-DISABLED VEHICLE,Traffic,Disabled Vehicle
202200036280,"01/01/2023, 12:41:47 AM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,E CHURCH ST & PRISCILLA ST,01050-M/V ACCIDENT,Other,M/V Accident
202200036279,"01/01/2023, 12:24:58 AM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21801,200 Block S CLAIRMONT DR,ALARM-ALARM,Other,Alarm
202200036278,"01/01/2023, 12:04:31 AM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21801,600 Block W SALISBURY PKWY,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202200036277,"12/31/2022, 11:41:27 PM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21804,2300 Block N SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036276,"12/31/2022, 11:34:40 PM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21804,700 Block E COLLEGE AVE,ALARM-ALARM,Other,Alarm
202200036275,"12/31/2022, 11:30:04 PM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,900 Block N DIVISION ST,1037V-SUSPICIOUS VEHICLE,Other,Suspicious Vehicle
202200036274,"12/31/2022, 11:16:13 PM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21804,700 Block ROLAND ST,FU-FOLLOWUP INVESTIGATION,Other,Followup Investigation
202200036273,"12/31/2022, 10:51:49 PM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21801,100 Block E MAIN ST,OPS-OTHER PUBLIC SERVICE,Other,Other Public Service
202200036254,"12/31/2022, 7:43:38 PM","01/02/2023, 8:12:39 PM",SALISBURY,MD,21804,2300 Block N SALISBURY BLVD,OT-OVERTIME DETAIL,Other,Overtime Detail
202200036246,"12/31/2022, 6:04:12 PM","01/02/2023, 8:12:40 PM",SALISBURY,MD,21801,W SALISBURY PKWY & MILL ST,OPS-OTHER PUBLIC SERVICE,Other,Other Public Service
202200036272,"12/31/2022, 10:10:34 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,1100 Block BRYN MAWR DR,THEFT-THEFT,Other,Theft
202200036271,"12/31/2022, 9:52:55 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,E CHURCH ST & CHARLES ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036270,"12/31/2022, 9:33:49 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,W SALISBURY PKWY & N DIVISION ST,TRAF-TRAFFIC STOP,Other,Traffic Stop
202200036269,"12/31/2022, 9:21:44 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,800 Block S SALISBURY BLVD,DISOR-DISORDERLY CONDUCT,Other,Disorderly Conduct
202200036268,"12/31/2022, 9:15:20 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,900 Block N SALISBURY BLVD,SUSP-SUSPICION,Other,Suspicion
202200036267,"12/31/2022, 9:08:48 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,100 Block E MAIN ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036266,"12/31/2022, 9:07:58 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,S SALISBURY BLVD & PINEHURST AVE,TRAF-TRAFFIC STOP,Other,Traffic Stop
202200036265,"12/31/2022, 8:37:05 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,NAYLOR MILL RD & NORTHWOOD DR,01050-M/V ACCIDENT,Other,M/V Accident
202200036264,"12/31/2022, 8:35:38 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,100 Block W COLLEGE AVE,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036263,"12/31/2022, 8:32:09 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,500 Block COVENTRY LN,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036262,"12/31/2022, 8:25:12 PM","01/01/2023, 8:12:35 PM",SALISBURY,MD,21801,1500 Block PEMBERTON DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036261,"12/31/2022, 8:09:53 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,200 Block TILGHMAN RD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036260,"12/31/2022, 8:01:30 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,2700 Block N SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036259,"12/31/2022, 8:01:25 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21801,100 Block E MAIN ST,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036258,"12/31/2022, 7:56:20 PM","01/01/2023, 8:12:36 PM",SALISBURY,MD,21804,100 Block E NORTH POINTE DR,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
202200036257,"12/31/2022, 7:51:11 PM","01/01/2023, 8:12:35 PM",SALISBURY,MD,21801,2600 Block N SALISBURY BLVD,XPC-EXTRA PATROL CHECK,Other,Extra Patrol Check
