ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
123034933,"07/01/2023, 4:00:00 AM","08/03/2023, 10:39:51 PM",LEXINGTON PARK,MD,20653,22500 Block THREE NOTCH RD,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 6/30/20023<br>THEFT
123033383,"06/23/2023, 11:00:00 PM","07/29/2023, 1:09:24 AM",CALIFORNIA,MD,20619,22500 Block MACARTHUR BLVD,LARCENY - SHOPLIFTING,Theft,Offense Date: 6/23/20023<br>THEFT
123033228,"06/23/2023, 4:25:00 AM","07/29/2023, 1:09:23 AM",CALIFORNIA,MD,20619,CORNWALL DR,ASSAULT - SIMPLE,Assault,Offense Date: 6/22/20023<br>ASSAULT/DOMESTIC
123032794,"06/05/2023, 9:00:00 PM","07/29/2023, 1:09:21 AM",LEXINGTON PARK,MD,20653,21600 Block SUSAN LN,ASSAULT - SIMPLE,Assault,Offense Date: 6/5/20023<br>ASSAULT
123033229,"06/23/2023, 5:15:00 AM","07/29/2023, 1:09:23 AM",LEXINGTON PARK,MD,20653,21300 Block CASTAWAY CIR,ASSAULT - SIMPLE,Assault,Offense Date: 6/22/20023<br>ASSAULT/DOMESTIC
123033403,"06/24/2023, 4:00:00 AM","07/29/2023, 1:09:24 AM",LEXINGTON PARK,MD,20653,46800 Block FLOWER DR,ASSAULT - SIMPLE,Assault,Offense Date: 6/23/20023<br>ASSAULT
123033358,"06/23/2023, 8:25:00 PM","07/29/2023, 1:09:24 AM",LEXINGTON PARK,MD,20653,21900 Block STONEY BROOK CT,ASSAULT - SIMPLE,Assault,Offense Date: 6/23/20023<br>ASSAULT/DOMESTIC
123033328,"06/23/2023, 6:30:00 PM","07/28/2023, 9:13:23 AM",LEXINGTON PARK,MD,20653,22000 Block GLOUCESTER CT,ASSAULT - FIREARM,Assault,Offense Date: 6/23/20023<br>ASSAULT
123033142,"06/22/2023, 4:00:00 AM","07/28/2023, 1:17:54 AM",LEXINGTON PARK,MD,20653,21600 Block GREAT MILLS RD,ASSAULT - SIMPLE,Assault,Offense Date: 6/21/20023<br>ASSAULT
123032760,"06/17/2023, 9:00:00 AM","07/28/2023, 1:17:53 AM",LEXINGTON PARK,MD,20653,47900 Block PINEY ORCHARD ST,ASSAULT - SIMPLE,Assault,Offense Date: 6/17/20023<br>ASSAULT/DOMESTIC
123032220,"06/18/2023, 3:45:00 AM","07/27/2023, 1:07:55 AM",MORGANZA,MD,20659,39300 Block SCHERCLIFFE LN,ASSAULT - SIMPLE,Assault,Offense Date: 6/17/20023<br>ASSAULT/DOMESTIC
123032751,"06/20/2023, 10:45:00 PM","07/27/2023, 1:07:59 AM",CALIFORNIA,MD,20653,46100 Block THOROUGHBRED WAY,ASSAULT - SIMPLE,Assault,Offense Date: 6/20/20023<br>ASSAULT/DOMESTIC
123032551,"06/20/2023, 3:53:00 AM","07/27/2023, 1:07:57 AM",LEXINGTON PARK,MD,20653,21700 Block CARD RD,ASSAULT - SIMPLE,Assault,Offense Date: 6/19/20023<br>ASSAULT
123034243,"06/28/2023, 5:24:00 AM","07/27/2023, 1:08:10 AM",LEONARDTOWN,MD,20650,41800 Block BALDRIDGE ST,ASSAULT - SIMPLE,Assault,Offense Date: 6/27/20023<br>ASSAULT
123032915,"06/20/2023, 9:00:00 PM","07/27/2023, 1:08:01 AM",LEXINGTON PARK,MD,20653,21000 Block HERMANVILLE RD,ASSAULT - SIMPLE,Assault,Offense Date: 6/20/20023<br>ASSAULT/DOMESTIC
