ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
123026249,"03/01/2023, 1:00:00 PM","06/17/2023, 12:10:44 AM",LEONARDTOWN,MD,20650,23900 Block POINT LOOKOUT RD,Other,Other,Offense Date: 3/1/20023<br>ASSAULT
123027103,"02/20/2023, 4:44:00 PM","06/16/2023, 8:08:38 AM",HOLLYWOOD,MD,20636,43300 Block PINE RIDGE CT,Other,Other,Offense Date: 2/20/20023<br>THEFT
123026987,"03/19/2023, 4:00:00 PM","06/16/2023, 12:51:56 AM",MECHANICSVILLE,MD,20659,26600 Block JOHNSON LN,Other,Other,Offense Date: 3/19/20023<br>THEFT
123019414,"03/20/2023, 7:00:00 PM","05/17/2023, 11:30:40 PM",LEONARDTOWN,MD,20650,44100 Block LITTLE HOLLY LN,LARCENY - OTHER,Theft,Offense Date: 3/20/20023<br>THEFT
123020745,"03/04/2023, 8:39:00 PM","05/17/2023, 7:08:30 AM",LEONARDTOWN,MD,20650,23500 Block GUNNELL DR,LARCENY - OTHER,Theft,Offense Date: 3/4/20023<br>EXTORTION
123017879,"03/28/2023, 5:30:00 PM","05/10/2023, 6:17:12 AM",LEXINGTON PARK,MD,.,GREAT MILLS RD,Other,Other,Offense Date: 3/28/20023<br>ASSAULT
123021928,"03/06/2023, 2:00:00 PM","05/09/2023, 10:30:04 PM",COLTONS POINT,MD,20626,20500 Block WELLINGTON CT,LARCENY - OTHER,Theft,Offense Date: 3/6/20023<br>THEFT
123019444,"01/01/2023, 3:00:00 PM","05/09/2023, 10:30:04 PM",CALLAWAY,MD,20620,21300 Block POINT LOOKOUT RD,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 1/1/20023<br>THEFT
123017613,"03/31/2023, 5:53:00 PM","05/09/2023, 6:35:57 AM",CALIFORNIA,MD,20619,45300 Block ALTON LN,Other,Other,Offense Date: 3/31/20023<br>THEFT
123017973,"03/28/2023, 7:00:00 PM","05/04/2023, 6:08:49 AM",CALIFORNIA,MD,20619,22600 Block THREE NOTCH RD,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 3/28/20023<br>THEFT
123019331,"03/31/2023, 7:30:00 PM","05/02/2023, 11:10:33 PM",LEXINGTON PARK,MD,20653,22700 Block MAPLE RD,LARCENY - OTHER,Theft,Offense Date: 3/31/20023<br>THEFT
123017475,"04/01/2023, 3:00:00 AM","05/02/2023, 10:47:37 PM",AVENUE,MD,20609,23000 Block OAKLEY RD,LARCENY - OTHER,Theft,Offense Date: 3/31/20023<br>THEFT
123017287,"03/30/2023, 9:26:00 AM","05/02/2023, 10:47:37 PM",LEONARDTOWN,MD,20650,43100 Block ST ANDREWS CHURCH RD,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 3/30/20023<br>THEFT
123017085,"03/29/2023, 7:12:00 PM","05/02/2023, 10:47:37 PM",LEXINGTON PARK,MD,20653,21700 Block GREAT MILLS RD,LARCENY - SHOPLIFTING,Theft,Offense Date: 3/29/20023<br>THEFT
123016381,"03/14/2023, 6:59:00 AM","04/25/2023, 10:29:12 PM",COLTONS POINT,MD,20626,38000 Block KOPLES RD,LARCENY - OTHER,Theft,Offense Date: 3/13/20023<br>THEFT
123015994,"03/25/2023, 10:00:00 PM","04/25/2023, 10:29:12 PM",LEXINGTON PARK,MD,20653,46600 Block MIDWAY DR,LARCENY - OTHER,Theft,Offense Date: 3/25/20023<br>THEFT
123015888,"03/26/2023, 10:00:00 PM","04/25/2023, 10:29:11 PM",LEXINGTON PARK,MD,20653,21600 Block LIBERTY ST,LARCENY - OTHER,Theft,Offense Date: 3/26/20023<br>THEFT
123015850,"03/26/2023, 11:00:00 PM","04/25/2023, 10:29:11 PM",CALIFORNIA,MD,20619,44800 Block OAK CREST RD,LARCENY - OTHER,Theft,Offense Date: 3/26/20023<br>THEFT
123015847,"03/24/2023, 3:00:00 PM","04/25/2023, 10:29:11 PM",CALIFORNIA,MD,20619,23100 Block THREE NOTCH RD,LARCENY - OTHER,Theft,Offense Date: 3/24/20023<br>THEFT
123015765,"03/23/2023, 8:30:00 PM","04/25/2023, 10:29:11 PM",MECHANICSVILLE,MD,20659,27500 Block THREE NOTCH RD,LARCENY - OTHER,Theft,Offense Date: 3/23/20023<br>THEFT
123015523,"03/23/2023, 11:27:00 PM","04/25/2023, 10:29:11 PM",CHARLOTTE HALL,MD,20622,29400 Block CHARLOTTE HALL RD,LARCENY - FROM BUILDING,Theft,Offense Date: 3/23/20023<br>THEFT
123016896,"03/31/2023, 4:15:00 PM","04/25/2023, 10:29:12 PM",LEXINGTON PARK,MD,20653,46700 Block SOUTH SHANGRI LA DR,ASSAULT - SIMPLE,Assault,Offense Date: 3/31/20023<br>ASSAULT
123016448,"03/26/2023, 7:28:00 PM","04/25/2023, 10:29:12 PM",LEXINGTON PARK,MD,20653,21700 Block GREAT MILLS RD,LARCENY - SHOPLIFTING,Theft,Offense Date: 3/26/20023<br>THEFT
123016059,"03/28/2023, 1:13:00 AM","04/25/2023, 10:29:12 PM",GREAT MILLS,MD,20634,20800 Block DRY MILL ST,ASSAULT - SIMPLE,Assault,Offense Date: 3/27/20023<br>ASSAULT
123016343,"03/29/2023, 8:03:00 AM","04/25/2023, 10:29:12 PM",BUSHWOOD,MD,20609,22100 Block COLTON POINT RD,ASSAULT - SIMPLE,Assault,Offense Date: 3/29/20023<br>ASSAULT/DOMESTIC
123015577,"03/25/2023, 12:30:00 AM","04/25/2023, 10:29:11 PM",LEXINGTON PARK,MD,20653,21600 Block GREAT MILLS RD,LARCENY - SHOPLIFTING,Theft,Offense Date: 3/24/20023<br>THEFT
123016712,"03/30/2023, 9:15:00 PM","04/25/2023, 10:29:12 PM",CALIFORNIA,MD,20619,22400 Block CORNWALL DR,ASSAULT - SIMPLE,Assault,Offense Date: 3/30/20023<br>ASSAULT/DOMESTIC
123015894,"03/27/2023, 4:20:00 AM","04/25/2023, 6:31:12 AM",LEXINGTON PARK,MD,20653,22000 Block VALLEY ESTATES DR,ASSAULT - FIREARM,Assault,Offense Date: 3/26/20023<br>BURGLARY
123016779,"03/31/2023, 4:30:00 AM","04/25/2023, 6:31:13 AM",GREAT MILLS,MD,20634,20800 Block DRY MILL ST,ASSAULT - FIREARM,Assault,Offense Date: 3/30/20023<br>ASSAULT/DOMESTIC
123015373,"03/23/2023, 11:00:00 PM","04/25/2023, 6:31:11 AM",LEXINGTON PARK,MD,20653,21600 Block GREAT MILLS RD,LARCENY - SHOPLIFTING,Theft,Offense Date: 3/23/20023<br>THEFT
123014806,"03/21/2023, 5:33:00 AM","04/25/2023, 6:31:10 AM",BUSHWOOD,MD,20618,36700 Block OWENS DR,ASSAULT - SIMPLE,Assault,Offense Date: 3/20/20023<br>ASSAULT/DOMESTIC
