ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
123048570,"09/05/2023, 6:00:00 AM","10/01/2023, 1:47:57 PM",CALIFORNIA,MD,20634,45500 Block FRANK HAYDEN LN,ASSAULT - SIMPLE,Assault,Offense Date: 9/4/20023<br>ASSAULT/DOMESTIC
123049337,"08/04/2023, 7:00:00 PM","10/01/2023, 1:47:58 PM",LEONARDTOWN,MD,20650,23500 Block HAYDEN FARM LN,ASSAULT - SIMPLE,Assault,Offense Date: 8/4/20023<br>ASSAULT/DOMESTIC
123049402,"09/07/2023, 8:41:00 PM","10/01/2023, 1:47:58 PM",MECHANICSVILLE,MD,20659,27400 Block STANTON WAY,ASSAULT - SIMPLE,Assault,Offense Date: 9/7/20023<br>ASSAULT/DOMESTIC
123048845,"09/06/2023, 5:00:00 AM","10/01/2023, 1:47:57 PM",HOLLYWOOD,MD,20636,25600 Block JONES WHARF RD,ASSAULT - SIMPLE,Assault,Offense Date: 9/5/20023<br>ASSAULT
123049739,"09/09/2023, 5:00:00 AM","10/01/2023, 1:47:58 PM",MECHANICSVILLE,MD,20659,26800 Block THREE NOTCH RD,ASSAULT - SIMPLE,Assault,Offense Date: 9/8/20023<br>ASSAULT/DOMESTIC
123049718,"09/09/2023, 1:30:00 AM","10/01/2023, 1:47:58 PM",MECHANICSVILLE,MD,20659,AVIATION YACHT CLUB RD,ASSAULT - SIMPLE,Assault,Offense Date: 9/8/20023<br>ASSAULT/DOMESTIC
123048522,"09/05/2023, 2:00:00 AM","10/01/2023, 1:47:57 PM",MECHANICSVILLE,MD,20659,26500 Block REED CT,ASSAULT - SIMPLE,Assault,Offense Date: 9/4/20023<br>ASSAULT/DOMESTIC
123045951,"08/25/2023, 9:45:00 AM","09/28/2023, 5:46:34 AM",CALIFORNIA,MD,20619,22800 Block THREE NOTCH RD,ASSAULT - SIMPLE,Assault,Offense Date: 8/25/20023<br>ASSAULT/DOMESTIC
123043923,"08/17/2023, 11:20:00 AM","09/28/2023, 5:46:33 AM",TALL TIMBERS,MD,20690,17800 Block ST GEORGES PARK RD,ASSAULT - SIMPLE,Assault,Offense Date: 8/17/20023<br>ASSAULT/DOMESTIC
123044626,"08/21/2023, 2:50:00 AM","09/28/2023, 5:46:34 AM",LEXINGTON PARK,MD,20653,21600 Block LIBERTY ST,ASSAULT - SIMPLE,Assault,Offense Date: 8/20/20023<br>ASSAULT/DOMESTIC
123044645,"08/21/2023, 4:53:00 AM","09/28/2023, 5:46:34 AM",LEXINGTON PARK,MD,20653,46800 Block HILTON DR,ASSAULT - SIMPLE,Assault,Offense Date: 8/20/20023<br>ASSAULT/DOMESTIC
123052285,"09/20/2023, 4:40:00 AM","09/28/2023, 5:46:34 AM",MECHANICSVILLE,MD,20659,40700 Block KING DR,ASSAULT - SIMPLE,Assault,Offense Date: 9/19/20023<br>ASSAULT/DOMESTIC
123052844,"09/22/2023, 4:57:00 AM","09/28/2023, 5:46:35 AM",LEONARDTOWN,MD,20636,23900 Block MCINTOSH RD,ASSAULT - SIMPLE,Assault,Offense Date: 9/21/20023<br>ASSAULT/DOMESTIC
123052564,"09/21/2023, 6:20:00 AM","09/28/2023, 5:46:34 AM",LEONARDTOWN,MD,20650,39600 Block ST MARYS ST,ASSAULT - SIMPLE,Assault,Offense Date: 9/20/20023<br>ASSAULT/DOMESTIC
123047608,"08/31/2023, 8:00:00 PM","09/23/2023, 5:13:27 AM",CALIFORNIA,MD,20619,45400 Block MIRAMAR WAY,LARCENY - SHOPLIFTING,Theft,Offense Date: 8/31/20023<br>THEFT
