ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
123033326,"10/14/2022, 7:00:00 PM","07/22/2023, 9:07:48 AM",HOLLYWOOD,MD,20636,44100 Block SMARTRONIX LN,LARCENY - OTHER,Theft,Offense Date: 10/14/20022<br>FRAUD
123029261,"12/14/2022, 12:00:00 AM","07/01/2023, 4:20:00 PM",CALIFORNIA,MD,20653,46300 Block LEXINGTON VILLAGE WAY,ASSAULT - SIMPLE,Assault,Offense Date: 12/13/20022<br>SEX OFFENSES
123012301,"11/01/2022, 7:10:00 AM","04/01/2023, 2:06:02 PM",DRAYDEN,MD,20630,46500 Block DENNIS POINT WAY,LARCENY - OTHER,Theft,Offense Date: 11/1/20022<br>THEFT
123010880,"12/01/2022, 5:00:00 PM","03/07/2023, 5:13:51 AM",MECHANICSVILLE,MD,20659,39500 Block JARRELL DR,LARCENY - OTHER,Theft,Offense Date: 12/1/20022<br>THEFT
123003876,"12/20/2022, 1:06:00 AM","03/01/2023, 5:23:51 AM",LEXINGTON PARK,MD,20653,46000 Block RADFORD LN,ASSAULT - SIMPLE,Assault,Offense Date: 12/19/20022<br>ASSAULT
123004058,"11/05/2022, 7:01:00 AM","02/23/2023, 4:23:02 AM",LEXINGTON PARK,MD,20653,46600 Block MIDWAY DR,ASSAULT - FIREARM,Assault,Offense Date: 11/5/20022<br>ASSAULT/DOMESTIC
123003722,"10/01/2022, 7:01:00 AM","02/16/2023, 5:30:43 AM",MECHANICSVILLE,MD,20659,38700 Block HIDDEN POND CT,LARCENY - MOTOR VEHICLE PARTS,Theft,Offense Date: 10/1/20022<br>THEFT
123003148,"11/07/2022, 6:01:00 PM","02/15/2023, 9:21:04 PM",BUSHWOOD,MD,20618,21700 Block OSCAR HAYDEN RD,LARCENY - OTHER,Theft,Offense Date: 11/7/20022<br>THEFT
123003011,"12/27/2022, 7:55:00 PM","02/15/2023, 9:21:08 PM",CALIFORNIA,MD,20619,45100 Block FIRST COLONY WAY,Other,Other,Offense Date: 12/27/20022<br>THEFT
123002825,"10/15/2022, 3:50:00 AM","02/15/2023, 9:21:08 PM",CALIFORNIA,MD,20619,45100 Block FIRST COLONY WAY,LARCENY - SHOPLIFTING,Theft,Offense Date: 10/14/20022<br>THEFT
123002824,"10/12/2022, 11:39:00 PM","02/15/2023, 9:21:08 PM",CALIFORNIA,MD,20619,45100 Block FIRST COLONY WAY,LARCENY - SHOPLIFTING,Theft,Offense Date: 10/12/20022<br>THEFT
123000779,"12/23/2022, 2:00:00 AM","02/15/2023, 5:07:39 AM",CALIFORNIA,MD,20619,23200 Block OAK DR,ASSAULT - SIMPLE,Assault,Offense Date: 12/22/20022<br>ASSAULT/DOMESTIC
122065293,"12/23/2022, 7:55:00 PM","02/14/2023, 8:09:26 PM",MECHANICSVILLE,MD,20659,29700 Block CHERYL CT,ASSAULT - SIMPLE,Assault,Offense Date: 12/23/20022<br>ASSAULT
122066466,"01/01/2023, 6:00:00 AM","02/09/2023, 5:07:08 AM",VALLEY LEE,MD,20650,44500 Block PASTURE VIEW WAY,ASSAULT - SIMPLE,Assault,Offense Date: 12/31/20022<br>ASSAULT/DOMESTIC
123002585,"12/17/2022, 12:00:00 AM","02/08/2023, 8:14:49 PM",MECHANICSVILLE,MD,20659,29800 Block ANN CIR,ASSAULT - SIMPLE,Assault,Offense Date: 12/16/20022<br>ASSAULT/DOMESTIC
122063340,"12/11/2022, 9:00:00 PM","02/01/2023, 9:13:35 PM",PARK HALL,MD,20653,46800 Block WHITEMOORE CT,ASSAULT - KNIFE,Assault,Offense Date: 12/11/20022<br>ASSAULT/DOMESTIC
123000419,"12/31/2022, 8:30:00 PM","02/01/2023, 12:35:23 PM",LEXINGTON PARK,MD,20653,21400 Block HILLARY CT,ASSAULT - SIMPLE,Assault,Offense Date: 12/31/20022<br>SEX OFFENSES
122061197,"11/21/2022, 7:00:00 PM","12/30/2022, 8:18:56 PM",GREAT MILLS,MD,20634,21100 Block GREAT MILLS RD,ASSAULT - SIMPLE,Assault,Offense Date: 11/21/20022<br>ASSAULT
